home_team,home_score_home,away_score_home,home_possesion,home_total_Shots,home_fouls,home_yellow_cards,home_red_cards,total_goals_scored_home,total_goals_conceded_home,average_possession_home,average_shots_home,average_fouls_home,average_yellow_cards_home,average_red_cards_home,away_team,away_score_away,home_score_away,away_possession,away_total_Shots,away_fouls,away_yellow_cards,away_red_cards,total_goals_scored_away,total_goals_conceded_away,average_possession_away,average_shots_away,average_fouls_away,average_yellow_cards_away,average_red_cards_away
Athletic Club,287,174,41.15210526315789,10.573684210526316,11.121052631578948,1.931578947368421,0.05263157894736842,287,174,41.15210526315789,10.573684210526316,11.121052631578948,1.931578947368421,0.05263157894736842,Athletic Club,191,247,39.79052631578947,8.368421052631579,11.194736842105263,1.9210526315789473,0.09473684210526316,191,247,39.79052631578947,8.368421052631579,11.194736842105263,1.9210526315789473,0.09473684210526316
Atlético de Madrid,369,113,41.47052631578947,11.342105263157896,10.58421052631579,1.8210526315789475,0.07368421052631578,369,113,41.47052631578947,11.342105263157896,10.58421052631579,1.8210526315789475,0.07368421052631578,Atlético de Madrid,274,165,38.992063492063494,8.603174603174603,10.592592592592593,2.2116402116402116,0.10582010582010581,274,165,38.992063492063494,8.603174603174603,10.592592592592593,2.2116402116402116,0.10582010582010581
CA Osasuna,131,163,39.391228070175444,10.394736842105264,12.008771929824562,1.9649122807017543,0.09649122807017543,131,163,39.391228070175444,10.394736842105264,12.008771929824562,1.9649122807017543,0.09649122807017543,CA Osasuna,98,188,35.41842105263158,8.105263157894736,11.657894736842104,1.9649122807017543,0.09649122807017543,98,188,35.41842105263158,8.105263157894736,11.657894736842104,1.9649122807017543,0.09649122807017543
CD Leganés,77,84,42.39473684210526,10.93421052631579,14.539473684210526,2.460526315789474,0.07894736842105263,77,84,42.39473684210526,10.93421052631579,14.539473684210526,2.460526315789474,0.07894736842105263,CD Leganés,60,116,38.37894736842105,9.171052631578947,14.618421052631579,2.8157894736842106,0.09210526315789473,60,116,38.37894736842105,9.171052631578947,14.618421052631579,2.8157894736842106,0.09210526315789473
Cádiz CF,55,77,40.282456140350874,10.56140350877193,12.75438596491228,2.5964912280701755,0.07017543859649122,55,77,40.282456140350874,10.56140350877193,12.75438596491228,2.5964912280701755,0.07017543859649122,Cádiz CF,46,85,37.4280701754386,8.912280701754385,12.789473684210526,2.3859649122807016,0.14035087719298245,46,85,37.4280701754386,8.912280701754385,12.789473684210526,2.3859649122807016,0.14035087719298245
Córdoba CF,12,33,39.50526315789474,8.157894736842104,9.894736842105264,1.736842105263158,0.10526315789473684,12,33,39.50526315789474,8.157894736842104,9.894736842105264,1.736842105263158,0.10526315789473684,Córdoba CF,10,35,24.33157894736842,5.578947368421052,8.578947368421053,1.894736842105263,0.05263157894736842,10,35,24.33157894736842,5.578947368421052,8.578947368421053,1.894736842105263,0.05263157894736842
Deportivo Alavés,117,128,41.64912280701754,11.008771929824562,14.350877192982455,2.5964912280701755,0.11403508771929824,117,128,41.64912280701754,11.008771929824562,14.350877192982455,2.5964912280701755,0.11403508771929824,Deportivo Alavés,103,193,37.97964601769911,7.79646017699115,13.513274336283185,2.424778761061947,0.13274336283185842,103,193,37.97964601769911,7.79646017699115,13.513274336283185,2.424778761061947,0.13274336283185842
Elche CF,92,116,36.64736842105263,7.989473684210527,10.894736842105264,1.894736842105263,0.15789473684210525,92,116,36.64736842105263,7.989473684210527,10.894736842105264,1.894736842105263,0.15789473684210525,Elche CF,77,170,32.19052631578947,5.526315789473684,9.926315789473684,1.9894736842105263,0.10526315789473684,77,170,32.19052631578947,5.526315789473684,9.926315789473684,1.9894736842105263,0.10526315789473684
FC Barcelona,530,143,53.566489361702125,13.569148936170214,8.72872340425532,1.3297872340425532,0.06914893617021277,530,143,53.566489361702125,13.569148936170214,8.72872340425532,1.3297872340425532,0.06914893617021277,FC Barcelona,399,173,52.60899470899471,10.761904761904763,8.687830687830688,1.8148148148148149,0.06349206349206349,399,173,52.60899470899471,10.761904761904763,8.687830687830688,1.8148148148148149,0.06349206349206349
Getafe CF,195,160,34.74269005847953,9.368421052631579,12.75438596491228,2.2982456140350878,0.1286549707602339,195,160,34.74269005847953,9.368421052631579,12.75438596491228,2.2982456140350878,0.1286549707602339,Getafe CF,138,259,32.04970760233918,7.140350877192983,12.801169590643275,2.43859649122807,0.15204678362573099,138,259,32.04970760233918,7.140350877192983,12.801169590643275,2.43859649122807,0.15204678362573099
Girona FC,78,76,44.449122807017545,11.508771929824562,12.491228070175438,1.912280701754386,0.07017543859649122,78,76,44.449122807017545,11.508771929824562,12.491228070175438,1.912280701754386,0.07017543859649122,Girona FC,67,91,42.80701754385965,8.912280701754385,11.894736842105264,2.3333333333333335,0.05263157894736842,67,91,42.80701754385965,8.912280701754385,11.894736842105264,2.3333333333333335,0.05263157894736842
Granada CF,147,172,34.67593984962406,8.849624060150376,10.887218045112782,1.962406015037594,0.09774436090225563,147,172,34.67593984962406,8.849624060150376,10.887218045112782,1.962406015037594,0.09774436090225563,Granada CF,133,270,33.18496240601504,7.203007518796992,11.511278195488721,2.3834586466165413,0.08270676691729323,133,270,33.18496240601504,7.203007518796992,11.511278195488721,2.3834586466165413,0.08270676691729323
Levante UD,203,213,36.409868421052636,9.138157894736842,10.822368421052632,1.894736842105263,0.13815789473684212,203,213,36.409868421052636,9.138157894736842,10.822368421052632,1.894736842105263,0.13815789473684212,Levante UD,150,277,34.16710526315789,7.631578947368421,10.394736842105264,1.9342105263157894,0.05263157894736842,150,277,34.16710526315789,7.631578947368421,10.394736842105264,1.9342105263157894,0.05263157894736842
Málaga CF,122,107,30.117894736842103,8.48421052631579,9.136842105263158,1.6526315789473685,0.12631578947368421,122,107,30.117894736842103,8.48421052631579,9.136842105263158,1.6526315789473685,0.12631578947368421,Málaga CF,70,137,29.133684210526315,6.3052631578947365,9.473684210526315,1.7894736842105263,0.10526315789473684,70,137,29.133684210526315,6.3052631578947365,9.473684210526315,1.7894736842105263,0.10526315789473684
RC Celta,281,244,45.28,10.226315789473684,10.705263157894738,1.8526315789473684,0.08947368421052632,281,244,45.28,10.226315789473684,10.705263157894738,1.8526315789473684,0.08947368421052632,RC Celta,209,306,42.0221052631579,7.931578947368421,11.110526315789473,2.194736842105263,0.12631578947368421,209,306,42.0221052631579,7.931578947368421,11.110526315789473,2.194736842105263,0.12631578947368421
RC Deportivo,96,120,39.017105263157895,10.328947368421053,10.960526315789474,1.9736842105263157,0.07894736842105263,96,120,39.017105263157895,10.328947368421053,10.960526315789474,1.9736842105263157,0.07894736842105263,RC Deportivo,65,138,35.28684210526316,8.144736842105264,10.526315789473685,2.026315789473684,0.06578947368421052,65,138,35.28684210526316,8.144736842105264,10.526315789473685,2.026315789473684,0.06578947368421052
RCD Espanyol de Barcelona,209,212,37.724117647058826,9.323529411764707,11.435294117647059,1.8411764705882352,0.09411764705882353,209,212,37.724117647058826,9.323529411764707,11.435294117647059,1.8411764705882352,0.09411764705882353,RCD Espanyol de Barcelona,169,282,34.57426900584795,7.356725146198831,11.0,2.1228070175438596,0.13450292397660818,169,282,34.57426900584795,7.356725146198831,11.0,2.1228070175438596,0.13450292397660818
RCD Mallorca,67,59,43.55614035087719,11.210526315789474,15.24561403508772,2.9473684210526314,0.14035087719298245,67,59,43.55614035087719,11.210526315789474,15.24561403508772,2.9473684210526314,0.14035087719298245,RCD Mallorca,46,112,43.31578947368421,9.771929824561404,14.12280701754386,2.508771929824561,0.15789473684210525,46,112,43.31578947368421,9.771929824561404,14.12280701754386,2.508771929824561,0.15789473684210525
Rayo Vallecano,162,167,39.13859649122807,10.324561403508772,10.307017543859649,1.8421052631578947,0.09649122807017543,162,167,39.13859649122807,10.324561403508772,10.307017543859649,1.8421052631578947,0.09649122807017543,Rayo Vallecano,107,227,37.20701754385965,8.578947368421053,10.973684210526315,1.9736842105263157,0.14912280701754385,107,227,37.20701754385965,8.578947368421053,10.973684210526315,1.9736842105263157,0.14912280701754385
Real Betis,239,223,45.599415204678365,10.935672514619883,10.654970760233919,2.0,0.15204678362573099,239,223,45.599415204678365,10.935672514619883,10.654970760233919,2.0,0.15204678362573099,Real Betis,182,275,42.50941176470589,8.505882352941176,10.188235294117646,1.964705882352941,0.12352941176470589,182,275,42.50941176470589,8.505882352941176,10.188235294117646,1.964705882352941,0.12352941176470589
Real Madrid,493,156,48.90368421052632,14.826315789473684,8.968421052631578,1.3526315789473684,0.06842105263157895,493,156,48.90368421052632,14.826315789473684,8.968421052631578,1.3526315789473684,0.06842105263157895,Real Madrid,393,203,47.37671957671958,12.312169312169312,8.973544973544973,1.6455026455026456,0.06878306878306878,393,203,47.37671957671958,12.312169312169312,8.973544973544973,1.6455026455026456,0.06878306878306878
Real Sociedad,298,199,45.11052631578947,10.73157894736842,11.278947368421052,1.6894736842105262,0.06842105263157895,298,199,45.11052631578947,10.73157894736842,11.278947368421052,1.6894736842105262,0.06842105263157895,Real Sociedad,229,271,43.09736842105263,8.73157894736842,10.75263157894737,1.731578947368421,0.05789473684210526,229,271,43.09736842105263,8.73157894736842,10.75263157894737,1.731578947368421,0.05789473684210526
Real Sporting,54,66,38.26315789473684,10.18421052631579,11.81578947368421,2.3421052631578947,0.07894736842105263,54,66,38.26315789473684,10.18421052631579,11.81578947368421,2.3421052631578947,0.07894736842105263,Real Sporting,28,68,34.602631578947374,6.605263157894737,12.894736842105264,2.3947368421052633,0.10526315789473684,28,68,34.602631578947374,6.605263157894737,12.894736842105264,2.3947368421052633,0.10526315789473684
Real Valladolid CF,94,113,38.013684210526314,9.2,10.578947368421053,1.7578947368421052,0.031578947368421054,94,113,38.013684210526314,9.2,10.578947368421053,1.7578947368421052,0.031578947368421054,Real Valladolid CF,75,161,35.92842105263158,7.663157894736842,10.210526315789474,2.0210526315789474,0.07368421052631578,75,161,35.92842105263158,7.663157894736842,10.210526315789474,2.0210526315789474,0.07368421052631578
SD Eibar,169,158,45.043609022556396,11.631578947368421,12.06015037593985,2.0,0.08270676691729323,169,158,45.043609022556396,11.631578947368421,12.06015037593985,2.0,0.08270676691729323,SD Eibar,128,217,39.33458646616541,9.045112781954888,12.308270676691729,2.0150375939849625,0.09022556390977443,128,217,39.33458646616541,9.045112781954888,12.308270676691729,2.0150375939849625,0.09022556390977443
SD Huesca,41,51,49.01842105263158,13.052631578947368,14.552631578947368,2.3421052631578947,0.02631578947368421,41,51,49.01842105263158,13.052631578947368,14.552631578947368,2.3421052631578947,0.02631578947368421,SD Huesca,36,67,43.45263157894737,10.052631578947368,14.578947368421053,2.3157894736842106,0.10526315789473684,36,67,43.45263157894737,10.052631578947368,14.578947368421053,2.3157894736842106,0.10526315789473684
Sevilla FC,338,180,47.078835978835976,11.428571428571429,11.417989417989418,2.058201058201058,0.07407407407407407,338,180,47.078835978835976,11.428571428571429,11.417989417989418,2.058201058201058,0.07407407407407407,Sevilla FC,239,272,43.55789473684211,8.81578947368421,11.152631578947368,2.1894736842105265,0.11052631578947368,239,272,43.55789473684211,8.81578947368421,11.152631578947368,2.1894736842105265,0.11052631578947368
UD Almería,75,81,25.556140350877193,6.719298245614035,7.385964912280702,1.4912280701754386,0.10526315789473684,75,81,25.556140350877193,6.719298245614035,7.385964912280702,1.4912280701754386,0.10526315789473684,UD Almería,52,119,24.973684210526315,6.052631578947368,7.298245614035087,1.4736842105263157,0.08771929824561403,52,119,24.973684210526315,6.052631578947368,7.298245614035087,1.4736842105263157,0.08771929824561403
UD Las Palmas,73,80,47.396491228070175,9.947368421052632,9.964912280701755,1.9824561403508771,0.05263157894736842,73,80,47.396491228070175,9.947368421052632,9.964912280701755,1.9824561403508771,0.05263157894736842,UD Las Palmas,49,121,42.85964912280702,7.964912280701754,10.228070175438596,2.1052631578947367,0.10526315789473684,49,121,42.85964912280702,7.964912280701754,10.228070175438596,2.1052631578947367,0.10526315789473684
Valencia CF,310,199,39.30789473684211,10.273684210526316,11.257894736842106,1.9684210526315788,0.08947368421052632,310,199,39.30789473684211,10.273684210526316,11.257894736842106,1.9684210526315788,0.08947368421052632,Valencia CF,215,276,39.08315789473684,7.947368421052632,10.968421052631578,2.163157894736842,0.18947368421052632,215,276,39.08315789473684,7.947368421052632,10.968421052631578,2.163157894736842,0.18947368421052632
Villarreal CF,328,199,43.837566137566135,11.116402116402117,10.592592592592593,1.7407407407407407,0.08465608465608465,328,199,43.837566137566135,11.116402116402117,10.592592592592593,1.7407407407407407,0.08465608465608465,Villarreal CF,228,221,40.817894736842106,8.405263157894737,11.057894736842105,2.026315789473684,0.06315789473684211,228,221,40.817894736842106,8.405263157894737,11.057894736842105,2.026315789473684,0.06315789473684211
